"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2017","1,350.00","1,353.30","1,353.30","1,353.30","0.00K","-0.56%"
"Sep 24, 2017","1,357.60","1,382.00","1,382.00","1,382.00","0.00K","-0.86%"
"Sep 17, 2017","1,369.40","1,367.30","1,367.30","1,367.30","0.05K","-1.84%"
"Sep 10, 2017","1,395.10","1,406.60","1,406.60","1,406.60","0.03K","-1.71%"
"Sep 03, 2017","1,419.30","1,419.30","1,419.30","1,419.30","0.08K","1.59%"
"Aug 27, 2017","1,397.10","1,381.90","1,393.70","1,381.90","0.00K","2.37%"
"Aug 20, 2017","1,364.80","1,364.80","1,364.80","1,364.80","1.20K","0.44%"
"Aug 13, 2017","1,358.80","1,362.70","1,372.50","1,362.70","0.00K","-0.19%"
"Aug 06, 2017","1,361.40","1,326.40","1,326.40","1,326.40","0.00K","2.23%"
"Jul 30, 2017","1,331.70","1,331.70","1,331.70","1,331.70","10.63K","-0.81%"
"Jul 23, 2017","1,342.60","1,323.60","1,323.60","1,323.60","0.00K","1.26%"
"Jul 16, 2017","1,325.90","1,325.90","1,325.90","1,325.90","0.06K","2.09%"
"Jul 09, 2017","1,298.80","1,289.00","1,289.00","1,289.00","0.00K","1.28%"
"Jul 02, 2017","1,282.40","1,289.90","1,289.90","1,282.30","0.03K","-2.40%"
"Jun 25, 2017","1,314.00","1,322.80","1,322.80","1,313.70","0.00K","-1.03%"
"Jun 18, 2017","1,327.70","1,327.70","1,327.70","1,327.70","0.01K","-0.06%"
"Jun 11, 2017","1,328.50","1,342.80","1,342.80","1,342.80","0.00K","-1.15%"
"Jun 04, 2017","1,343.90","1,343.90","1,343.90","1,343.90","0.00K","-0.68%"
"May 28, 2017","1,353.10","1,353.10","1,353.10","1,353.10","135.09K","0.62%"
"May 21, 2017","1,344.80","1,344.80","1,344.80","1,344.80","0.06K","1.12%"
"May 14, 2017","1,329.90","1,307.50","1,340.00","1,307.50","0.05K","1.85%"
"May 07, 2017","1,305.70","1,306.10","1,306.10","1,303.20","0.01K","-0.01%"
"Apr 30, 2017","1,305.80","1,326.90","1,326.90","1,312.10","0.00K","-3.07%"
